name,color,price_old,price_new,image,warranty,condition,accessories,CPU,RAM,capacity,battery
Điện thoại realme Note 60 6GB/128GB,Màu: Đen,2.520.000₫,3.790.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/02/14/0_45967894_realmenote606128gbden_1739503345468.jpg,Chính hãng đến 13/01/2026,Có trầy xước,"Hộp, Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C - Type A, Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,6 GB,128 GB,5000 mAh
Điện thoại realme Note 60 6GB/128GB,Màu: Đen,2.520.000₫,3.790.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/21/0_46067141_realmenote606128gbden_1742522021147.jpg,Chính hãng đến 18/01/2026,Có trầy xước,"Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,6 GB,128 GB,5000 mAh
Điện thoại realme Note 60 6GB/128GB,Màu: Đen,2.530.000₫,3.790.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/15/0_46251396_realmenote606128gbden_1744725409947.jpg,Chính hãng đến 03/02/2026,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,6 GB,128 GB,5000 mAh
Điện thoại realme Note 60 6GB/128GB,Màu: Xanh,2.530.000₫,3.790.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/02/25/0_46012004_realmenote606128gbxanh_1740474217805.jpg,Chính hãng đến 26/01/2026,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,6 GB,128 GB,5000 mAh
Điện thoại realme Note 60 6GB/128GB,Màu: Đen,2.530.000₫,3.790.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/23/0_45978688_realmenote606128gbden_1742713031320.jpg,Chính hãng đến 22/01/2026,Có trầy xước,"Hộp, Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C - Type A, Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,6 GB,128 GB,5000 mAh
Điện thoại realme Note 60 6GB/128GB,Màu: Đen,2.650.000₫,3.790.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/02/08/0_45931704_realmenote606128gbden_1739015914817.jpg,Chính hãng đến 03/02/2026,Có trầy xước,"Hộp, Cây lấy sim, Ốp lưng, Cáp Type C - Type A, Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,6 GB,128 GB,5000 mAh
Điện thoại realme Note 60 6GB/128GB,Màu: Đen,2.660.000₫,3.790.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/01/0_46149956_realmenote606128gbden_1743517257348.jpg,Chính hãng đến 06/02/2026,Có trầy xước,"Hộp, Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C - Type A, Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,6 GB,128 GB,5000 mAh
Điện thoại realme Note 60 6GB/128GB,Màu: Đen,2.660.000₫,3.790.000₫,https://cdnv2.tgdd.vn/posimageused/posused/2025/03/09/0_46069515_realmenote606128gbden_1741497141869.jpg,Chính hãng đến 05/02/2026,Có trầy xước,"Sách hướng dẫn,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,6 GB,128 GB,5000 mAh
,,,,,,,,,,,
Điện thoại realme Note 60 6GB/128GB,Màu: Đen,2.680.000₫,3.790.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/02/28/0_46033461_realmenote606128gbden_1740745740264.jpg,Chính hãng đến 25/02/2026,Có trầy xước,"Cây lấy sim, Ốp lưng",Unisoc Tiger T612,6 GB,128 GB,5000 mAh
