name,color,price_old,price_new,image,warranty,condition,accessories,CPU,RAM,capacity,time,battery
Điện thoại Xiaomi Redmi Note 13 8GB/128GB,Màu: Đen,3.200.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/10/0_45967421_xiaomiredminote138128gden_1741575887641.jpg,Chính hãng đến 01/05/2026,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Snapdragon 685 8 nhân,8 GB,128 GB,01/2024,5000 mAh
Điện thoại Xiaomi Redmi Note 13 8GB/128GB,Màu: Đen,3.270.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/03/0_45962486_xiaomiredminote138128gden_1740998828748.jpg,Chính hãng đến 26/06/2026,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Snapdragon 685 8 nhân,8 GB,128 GB,01/2024,5000 mAh
Điện thoại OPPO A78 8GB/256GB,Màu: Đen,3.780.000₫,6.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/02/19/0_45985072_oppoa78den_1739937025177.jpg,1 tháng tại TGDĐ,Có trầy xước,"Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Snapdragon 680 8 nhân,8 GB,256 GB,07/2023,5000 mAh
Điện thoại OPPO A78 8GB/256GB,Màu: Xanh lá,3.780.000₫,6.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/25/0_46295195_oppoa78xanh_1745586471886.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Snapdragon 680 8 nhân,8 GB,256 GB,07/2023,5000 mAh
Điện thoại OPPO A77s,Màu: Xanh ngọc,3.400.000₫,6.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/12/18/0_45703154_oppoa77sxanh_1734491791562.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Snapdragon 680 8 nhân,8 GB,128 GB,10/2022,5000 mAh
Điện thoại OPPO A77s,Màu: Xanh ngọc,3.400.000₫,6.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/28/0_46077956_oppoa77sxanh_1743170852191.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp",Snapdragon 680 8 nhân,8 GB,128 GB,10/2022,5000 mAh
Điện thoại realme C55 6GB/128GB,Màu: Đen,2.700.000₫,4.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/15/0_46250487_realmec556128gbden_1744691900912.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",MediaTek Helio G88 8 nhân,6 GB,128 GB,03/2023,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh Dương,2.900.000₫,5.290.000₫,"https://img.tgdd.vn/imgt/old/f_webp,fit_outside,quality_75/https://cdn.tgdd.vn/may-cu/Desktop/2024-10-05/0_45352982_realmec65s8256gbxanhduong_1728092598307.jpg",Chính hãng đến 28/08/2025,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh Dương,2.930.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2024/10/17/0_45420492_realmec65s8256gbxanhduong_1729155178001.jpg,Chính hãng đến 24/09/2025,Có trầy xước,"Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh Dương,2.930.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused/posused/2025/02/01/0_45901780_realmec65s8256gbxanhduong_1738369502175.jpg,Chính hãng đến 04/10/2025,Có trầy xước,"Ốp lưng, Cáp Type C - Type A, Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
