,name,brand,condition,price_new,RAM,capacity,battery,screen_size,weight,bluetooth,refresh_rate,GPU,resolution_width,resolution_height,has_esim,height,width,depth,time_difference,os,chip,Cluster,price_old
1056,16,3,2,23990.0,4.0,256.0,2815.0,6.1,164.0,3.2,60.0,1,1170.0,2532.0,1.0,146.7,71.5,7.4,1710.0,3,0,2,9390.0
6387,92,1,2,8990.0,8.0,512.0,5000.0,6.67,187.0,3.0,120.0,1,1080.0,2400.0,0.0,162.95,75.45,7.92,310.0,0,2,0,4340.0
8005,28,3,2,25990.0,8.0,128.0,4674.0,6.7,199.0,3.6,60.0,2,1290.0,2796.0,1.0,160.9,77.8,7.8,279.0,3,0,1,20290.0
9405,202,2,2,12990.0,12.0,256.0,5000.0,6.67,195.0,3.8,144.0,1,1220.0,2712.0,1.0,160.5,75.1,7.8,279.0,0,4,2,9030.0
9562,81,2,2,15990.0,12.0,256.0,5600.0,6.59,181.0,3.8,120.0,1,1256.0,2760.0,0.0,157.9,74.73,7.24,157.0,0,4,2,11090.0
10344,149,3,2,18490.0,8.0,256.0,4700.0,6.7,213.0,3.6,120.0,2,1080.0,2340.0,1.0,162.0,77.3,8.0,279.0,0,1,2,11170.0
3324,151,3,2,43990.0,12.0,256.0,4400.0,7.6,239.0,3.6,120.0,2,1856.0,2160.0,1.0,153.5,132.6,68.1,341.0,0,2,1,24730.0
10128,130,3,2,10990.0,8.0,256.0,5000.0,6.7,198.0,3.6,120.0,0,1080.0,2340.0,1.0,162.2,77.5,7.4,98.0,0,1,2,8810.0
1282,128,3,2,10490.0,8.0,256.0,5000.0,6.4,202.0,3.4,120.0,1,1080.0,2400.0,0.0,158.2,76.7,8.2,829.0,0,1,0,5290.0
7124,80,2,2,13990.0,12.0,512.0,5000.0,6.7,177.0,3.8,120.0,1,1080.0,2412.0,0.0,161.4,74.1,7.57,341.0,0,4,2,9590.0
10021,228,2,2,9490.0,8.0,256.0,5110.0,6.67,190.0,3.8,120.0,1,1220.0,2712.0,0.0,162.33,74.42,8.4,157.0,0,4,0,6360.0
8391,83,2,2,11990.0,12.0,512.0,5800.0,6.67,192.0,3.2,120.0,2,1080.0,2400.0,0.0,162.2,75.05,7.76,157.0,0,2,2,7430.0
6023,186,2,2,3990.0,6.0,128.0,5000.0,6.56,186.0,3.0,90.0,1,720.0,1612.0,0.0,163.74,75.43,8.09,645.0,0,4,0,2390.0
9774,104,1,2,6490.0,8.0,256.0,6000.0,6.72,196.0,3.0,90.0,1,1080.0,2400.0,0.0,165.69,76.22,7.99,218.0,0,4,0,4010.0
3732,19,3,2,14990.0,4.0,128.0,3240.0,6.1,173.0,3.0,60.0,1,1170.0,2532.0,1.0,146.7,71.5,7.65,1375.0,3,0,2,10300.0
11213,111,3,2,4490.0,6.0,128.0,5000.0,6.7,191.0,3.6,90.0,1,720.0,1600.0,0.0,167.3,77.3,8.0,98.0,0,4,0,3170.0
7508,59,2,2,3490.0,4.0,64.0,5100.0,6.67,186.0,3.0,90.0,1,720.0,1604.0,0.0,165.77,76.08,7.68,310.0,0,2,0,2120.0
7606,210,2,2,4690.0,8.0,128.0,5030.0,6.79,205.0,3.8,90.0,1,1080.0,2460.0,0.0,168.6,76.28,8.3,371.0,0,4,0,2960.0
2192,151,3,2,28990.0,12.0,256.0,4000.0,6.7,187.0,3.6,120.0,2,1080.0,2640.0,1.0,165.1,85.1,71.9,341.0,0,2,1,12960.0
2907,121,3,2,6590.0,6.0,128.0,5000.0,6.5,197.0,3.6,120.0,1,1080.0,2340.0,0.0,161.0,76.5,8.3,554.0,0,1,0,3520.0
7811,29,3,2,34990.0,8.0,256.0,4685.0,6.9,227.0,3.6,120.0,2,1320.0,2868.0,1.0,163.0,77.6,8.25,279.0,3,0,1,28030.0
8903,118,3,2,6990.0,8.0,256.0,5000.0,6.7,192.0,3.6,90.0,1,1080.0,2340.0,0.0,164.4,77.9,7.9,218.0,0,4,0,4990.0
5333,100,1,2,4290.0,6.0,128.0,5000.0,6.74,182.0,3.0,90.0,1,720.0,1600.0,0.0,167.3,76.7,7.49,768.0,0,3,0,2750.0
7420,59,2,2,3990.0,4.0,128.0,5100.0,6.67,186.0,3.0,90.0,1,720.0,1604.0,0.0,165.77,76.08,7.68,310.0,0,2,0,2440.0
9786,104,1,2,6490.0,8.0,256.0,6000.0,6.72,196.0,3.0,90.0,1,1080.0,2400.0,0.0,165.69,76.22,7.99,218.0,0,4,0,4010.0
5488,100,1,2,4290.0,6.0,128.0,5000.0,6.74,182.0,3.0,90.0,1,720.0,1600.0,0.0,167.3,76.7,7.49,768.0,0,3,0,2750.0
6732,64,2,2,6490.0,8.0,256.0,5000.0,6.67,186.0,3.0,90.0,1,720.0,1604.0,0.0,165.71,76.02,7.68,432.0,0,2,0,4770.0
2186,151,3,2,28990.0,12.0,256.0,4000.0,6.7,187.0,3.6,120.0,2,1080.0,2640.0,1.0,165.1,85.1,71.9,341.0,0,2,1,12960.0
7635,210,2,2,4690.0,8.0,128.0,5030.0,6.79,205.0,3.8,90.0,1,1080.0,2460.0,0.0,168.6,76.28,8.3,371.0,0,4,0,2990.0
11982,6,2,2,2990.0,4.0,128.0,5200.0,6.56,194.0,3.2,90.0,1,720.0,1612.0,0.0,163.85,75.75,8.7,157.0,0,4,0,2470.0
12004,122,3,2,6590.0,6.0,128.0,5000.0,6.7,200.0,3.6,120.0,1,1080.0,2340.0,0.0,164.0,77.5,7.7,67.0,0,1,0,4680.0
6248,190,2,2,6490.0,8.0,256.0,6000.0,6.68,199.0,3.0,90.0,1,720.0,1608.0,0.0,165.7,76.0,7.99,371.0,0,4,0,4380.0
8239,83,2,2,9990.0,8.0,256.0,5800.0,6.67,192.0,3.2,120.0,2,1080.0,2400.0,0.0,162.2,75.05,7.76,157.0,0,2,0,7050.0
